t,cur_e0, cur_e1, cur_e2, cur_e3,cur_wx, cur_wy, cur_wz,cur_x, cur_y, cur_z,cur_vx, cur_vy, cur_vz,t_pred,input_1, input_2, input_3, input_4,pred_e0, pred_e1, pred_e2, pred_e3,pred_wx, pred_wy, pred_wz,pred_x, pred_y, pred_z,pred_vx, pred_vy, pred_vz
0,0.721907,-0.0105439,-0.0106839,0.691827,0.000208052,0.001039,8.1285e-05,-0.00134895,0.0285714,0.0207554,-0.000453542,-0.00141666,0.0174945,0.02,3.4383,-0.0221402,-0.000432584,-0.961942,0.721907,-0.0105467,-0.0106794,0.691827,4.73761,-6.57206,238.727,-0.00135349,0.0285572,0.0209303,-1.43955e-05,-0.00142311,0.100937
0.02,0.721911,-0.0105415,-0.0106909,0.691823,-0.00099037,-0.00135785,-0.000717662,-0.00139116,0.0285998,0.0207585,-0.00078965,-0.00123432,0.0173759,0.04,4.90031,-0.0338185,-0.0264077,-0.942786,0.721914,-0.0105404,-0.0106993,0.69182,9.85548,-4.39774,235.992,-0.00139906,0.0285875,0.0209322,-0.00016363,-0.00124324,0.0945994
0.04,0.721914,-0.0105365,-0.0106946,0.69182,7.48919e-05,-0.00122469,-0.00031815,-0.00143457,0.0286293,0.0207645,-0.000957344,-0.00100637,0.0173452,0.06,7.787,0.0165363,0.031119,-0.928391,0.721915,-0.010532,-0.0106988,0.691818,-5.4871,-5.70553,233.9,-0.00144414,0.0286192,0.0209379,3.73994e-05,-0.00102014,0.0822904
0.06,0.721916,-0.0105359,-0.0106891,0.691818,0.000873832,0.00117216,0.000214481,-0.00147795,0.0286608,0.0207747,-0.000955061,-0.000638683,0.0174696,0.08,10.4098,-0.00199817,0.031979,-0.937616,0.721915,-0.0105368,-0.0106818,0.691819,-2.86127,-8.41274,235.191,-0.00148751,0.0286544,0.0209494,0.000374333,-0.000657387,0.0712592
0.08,0.721924,-0.0105254,-0.0106846,0.69181,0.00247172,-0.000692054,-0.00204921,-0.00152048,0.0286939,0.0207887,-0.000975063,-0.000443364,0.0174512,0.1,12.067,0.00794025,-0.00461242,-0.935866,0.721931,-0.010514,-0.0106787,0.691803,0.750119,-1.74818,235.038,-0.00153023,0.0286894,0.0209632,0.000564891,-0.000464604,0.0641921
0.1,0.721942,-0.0105187,-0.0106671,0.691791,0.00167277,0.00356901,-0.0020492,-0.00160487,0.0287638,0.0207935,-0.00121738,6.80847e-05,0.0177501,0.12,13.9955,0.0233836,0.00123372,-0.948176,0.72195,-0.0105249,-0.0106485,0.691784,-2.19079,-0.477736,236.84,-0.00161704,0.0287645,0.020971,0.000566634,4.25411e-05,0.0562879
0.12,0.721943,-0.0105167,-0.0106631,0.691791,0.000873817,0.000639527,0.000613953,-0.00164752,0.0288002,0.0208037,-0.00127471,3.98869e-05,0.0180211,0.14,15.1366,-0.00210755,0.0345738,-0.930718,0.721941,-0.0105158,-0.0106577,0.691793,-3.26021,-8.78091,234.194,-0.00166027,0.0288006,0.020984,0.000654206,1.20811e-05,0.0517053
0.14,0.721961,-0.0106456,-0.0107876,0.691767,-0.00938061,0.000108167,-0.00298616,-0.00175305,0.0288707,0.0208769,-0.00429376,-2.01435e-05,0.0179125,0.16,18.2369,-0.013277,-0.00393905,-0.9501,0.721971,-0.0106796,-0.0108199,0.691756,3.84844,-4.84868,237.053,-0.00179599,0.0288705,0.021056,-0.00194198,-5.47783e-05,0.0384108
0.16,0.721983,-0.0106121,-0.0107536,0.691745,0.00114426,0.000104004,-0.000327666,-0.00211697,0.0290743,0.0207294,-0.00380644,0.000328614,0.0176359,0.18,20.6515,-0.0278804,-0.0141759,-0.9532,0.721985,-0.0106083,-0.0107493,0.691744,7.39889,-5.38617,237.495,-0.00215504,0.0290776,0.0209057,-0.00115166,0.000289425,0.0278637
0.18,0.722016,-0.0105852,-0.0107715,0.691712,0.00154372,0.000902936,-0.000460825,-0.00241064,0.0292913,0.0205117,-0.00238379,0.000340484,0.0177158,0.2,22.4356,0.01358,-0.0301018,-0.948287,0.722017,-0.0105827,-0.0107629,0.69171,3.57792,2.66249,236.914,-0.00243448,0.0292947,0.0206889,0.000499244,0.000303839,0.0203554
