control_time_s,local_pos_timestamp,local_pos_timestamp_sample,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,local_pos_z_deriv,attitude_timestamp,attitude_timestamp_sample,roll,pitch,yaw,angular_velocity_timestamp,angular_velocity_timestamp_sample,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_timestamp,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_timestamp,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_timestamp,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust_timestamp,hover_thrust,hover_thrust_valid,takeoff_status_timestamp,takeoff_state,takeoff_tilt_limit,land_detected_timestamp,landed,ground_contact,maybe_landed,thrust_sp_timestamp,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_timestamp,torque_sp_x,torque_sp_y,torque_sp_z,actuator_timestamp,actuator_timestamp_sample,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,livox_imu_time_s,livox_imu_stamp_sec,livox_imu_stamp_nanosec,livox_imu_orientation_x,livox_imu_orientation_y,livox_imu_orientation_z,livox_imu_orientation_w,livox_imu_angular_velocity_x,livox_imu_angular_velocity_y,livox_imu_angular_velocity_z,livox_imu_linear_acceleration_x,livox_imu_linear_acceleration_y,livox_imu_linear_acceleration_z
0.123333,1782994843244469,1782994843244469,0.0728723,0.00262747,-0.00576479,-0.0141379,0.00844435,0.0267265,0.00935238,1782994843240469,1782994843240469,-0.0155451,0.0266655,-0.0036772,1782994843248469,1782994843248469,0.000727669,0.000313012,1.30409e-05,1782994843244469,nan,nan,nan,-0.00367716,nan,nan,nan,0,0,100,0,1782994843244469,0.999998,-0,0,-0.00183858,1782994843244469,0.0512831,-0.087992,-0.000580438,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,nan,nan,nan,1782994842772469,1,1,1,1782994843248469,0,0,-0.001,1782994843248469,0.00758332,-0.0132458,-0.000297477,1782994843248469,1782994843248469,0,0.002,1.86265e-09,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843248469,0,0,0,23.104,23,104000000,0.00172093,-1.01681e-06,4.95445e-05,0.999999,0.00229461,-0.000122741,-1.18813e-06,0.000269102,0.0244501,9.80653
0.14328,1782994843268469,1782994843268469,0.07292,0.00255313,-0.00562488,-0.0139224,0.0083841,0.0268815,0.00948635,1782994843268469,1782994843268469,-0.0155317,0.0266625,-0.00367692,1782994843268469,1782994843268469,0.000727669,0.000313012,1.30409e-05,1782994843268469,nan,nan,nan,-0.00367692,nan,nan,nan,0,0,100,0,1782994843268469,0.999998,-0,0,-0.00183846,1782994843268469,0.0512451,-0.0879836,-0.000579956,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843268469,0,0,-0.001,1782994843268469,0.00757858,-0.0132447,-0.000297283,1782994843268469,1782994843268469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843268469,0,0,0,23.128,23,128000000,0.00139973,-1.25931e-06,5.32671e-05,0.999999,-0.165773,-0.000176779,0.00180001,-0.00369541,-0.0242748,8.56868
0.16334,1782994843284469,1782994843284469,0.0729413,0.00253551,-0.00546832,-0.0140398,0.0113928,0.0269226,0.00953786,1782994843280469,1782994843280469,-0.0158967,0.026654,-0.00368202,1782994843288469,1782994843288469,0.00126845,0.000145662,0.000156911,1782994843284469,nan,nan,nan,-0.0036809,nan,nan,nan,0,0,100,0,1782994843284469,0.999998,-0,0,-0.00184045,1782994843288469,0.0524041,-0.0879502,-0.000592737,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843288469,0,0,-0.001,1782994843288469,0.00197249,-0.0133013,-0.000274722,1782994843280469,1782994843280469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843280469,0,0,0,23.144,23,144000000,0.00163532,-6.22605e-06,5.20045e-05,0.999999,-0.00455111,0.000747625,-0.000158326,0.00129901,0.0386251,9.80481
0.183347,1782994843308469,1782994843308469,0.0730189,0.00252042,-0.00537033,-0.0136342,0.0110407,0.027124,0.00966783,1782994843300469,1782994843300469,-0.0158407,0.0266517,-0.00368074,1782994843308469,1782994843308469,0.00275838,0.000309449,8.57268e-06,1782994843308469,nan,nan,nan,-0.00368066,nan,nan,nan,0,0,100,0,1782994843308469,0.999998,-0,0,-0.00184033,1782994843308469,0.0521927,-0.0879441,-0.000590398,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843308469,0,0,-0.001,1782994843308469,0.00702684,-0.0132516,-0.000282033,1782994843308469,1782994843308469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843296469,0,0,0,23.168,23,168000000,0.00159829,-4.21689e-06,5.11609e-05,0.999999,0.00179026,0.00019452,-2.07577e-05,0.000546564,0.0216888,9.80621
0.20343,1782994843324469,1782994843324469,0.0731333,0.00244769,-0.00540903,-0.0132454,0.00953621,0.0271704,0.00955633,1782994843328469,1782994843328469,-0.015789,0.0266469,-0.00368044,1782994843328469,1782994843328469,0.00117526,0.000313296,1.30346e-05,1782994843324469,nan,nan,nan,-0.00368049,nan,nan,nan,0,0,100,0,1782994843324469,0.999998,-0,0,-0.00184024,1782994843328469,0.052094,-0.0879322,-0.000589141,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843328469,0,0,-0.001,1782994843328469,0.00784763,-0.0132395,-0.000286273,1782994843328469,1782994843328469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843328469,0,0,0,23.184,23,184000000,0.00160724,-3.35191e-06,5.10883e-05,0.999999,0.00246812,6.38949e-05,-8.98226e-06,0.000783907,0.026768,9.80644
0.323496,1782994843348469,1782994843348469,0.0732902,0.00231281,-0.00541995,-0.0128324,0.00747868,0.0272481,0.00945207,1782994843348469,1782994843348469,-0.0157806,0.0266432,-0.00368019,1782994843348469,1782994843348469,0.000725719,0.000313007,1.30457e-05,1782994843348469,nan,nan,nan,-0.00368019,nan,nan,nan,0,0,100,0,1782994843348469,0.999998,-0,0,-0.00184009,1782994843348469,0.0520663,-0.0879198,-0.000588887,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843348469,0,0,-0.001,1782994843348469,0.00774888,-0.0132356,-0.000289481,1782994843348469,1782994843348469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843348469,0,0,0,23.208,23,208000000,0.00162639,-2.69127e-06,5.10736e-05,0.999999,0.00292634,-7.45832e-05,-2.41933e-06,0.000904163,0.033353,9.80654
0.34343,1782994843364469,1782994843364469,0.0734022,0.00220234,-0.00542804,-0.0126465,0.00675985,0.0273065,0.00938817,1782994843356469,1782994843356469,-0.0157783,0.0266418,-0.00368009,1782994843368469,1782994843368469,-0.000393772,0.000313012,1.30407e-05,1782994843364469,nan,nan,nan,-0.00367998,nan,nan,nan,0,0,100,0,1782994843364469,0.999998,-0,0,-0.00183999,1782994843368469,0.052081,-0.0879066,-0.000588829,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843368469,0,0,-0.001,1782994843368469,0.00806669,-0.0132334,-0.000291966,1782994843360469,1782994843360469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843368469,0,0,0,23.224,23,224000000,0.00164039,-2.62245e-06,5.10945e-05,0.999999,0.00294994,-9.3281e-05,-2.49904e-07,0.000926511,0.0375609,9.80654
0.363438,1782994843388469,1782994843388469,0.0735512,0.00204457,-0.00539484,-0.0124727,0.00674639,0.0274684,0.00941762,1782994843380469,1782994843380469,-0.0157929,0.0266367,-0.00367978,1782994843388469,1782994843388469,-0.00033336,0.000313012,1.30409e-05,1782994843388469,nan,nan,nan,-0.00367967,nan,nan,nan,0,0,100,0,1782994843388469,0.999998,-0,0,-0.00183984,1782994843388469,0.0521235,-0.0878935,-0.000589363,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843388469,0,0,-0.001,1782994843388469,0.0078857,-0.0132314,-0.000293941,1782994843388469,1782994843388469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843388469,0,0,0,23.248,23,248000000,0.0016607,-2.60462e-06,5.11407e-05,0.999999,0.00282953,-8.97273e-05,7.48006e-08,0.000905919,0.0428294,9.80655
0.383339,1782994843404469,1782994843404469,0.0736378,0.00195535,-0.00534413,-0.0123721,0.00719193,0.0275234,0.00941572,1782994843400469,1782994843400469,-0.015797,0.0266331,-0.00367952,1782994843408469,1782994843408469,0.0007912,0.000313012,1.30409e-05,1782994843404469,nan,nan,nan,-0.00367947,nan,nan,nan,0,0,100,0,1782994843404469,0.999998,-0,0,-0.00183973,1782994843408469,0.0521086,-0.0878823,-0.000588973,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843408469,0,0,-0.001,1782994843408469,0.00757227,-0.0132296,-0.000295508,1782994843408469,1782994843408469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843408469,0,0,0,23.264,23,264000000,0.00167307,-2.49022e-06,5.11691e-05,0.999999,0.00268965,-8.12492e-05,-1.2605e-07,0.000847434,0.0464444,9.80656
0.40346,1782994843428469,1782994843428469,0.0738016,0.00181862,-0.00532527,-0.0121771,0.0079458,0.0275596,0.0093075,1782994843420469,1782994843420469,-0.0157881,0.02663,-0.00367926,1782994843428469,1782994843428469,0.000726124,0.000313012,1.30409e-05,1782994843428469,nan,nan,nan,-0.00367914,nan,nan,nan,0,0,100,0,1782994843428469,0.999998,-0,0,-0.00183957,1782994843428469,0.0520799,-0.0878706,-0.000588779,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843428469,0,0,-0.001,1782994843428469,0.00769173,-0.013228,-0.000296693,1782994843428469,1782994843428469,0,0.002,1.86265e-09,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843428469,0,0,0,23.288,23,288000000,0.00168916,-2.20306e-06,5.12069e-05,0.999999,0.00242504,-7.02381e-05,-7.50631e-07,0.000716895,0.0501595,9.80656
