control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed
0.0830072,0.0999544,-0.00400752,0.0679239,-0.00065908,-0.00354474,0.126084,-0.00191005,0.0186565,-0.00287608,0.000166803,-0.000117238,7.50406e-05,nan,nan,nan,-0.002877,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.0014385,0.00630264,-0.0615656,-5.11736e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,nan,nan,1,1,1
0.0910853,0.0999381,-0.00403529,0.0680166,-0.000735151,-0.00375836,0.126114,-0.00191239,0.0186558,-0.00287562,-0.000365829,-0.000117238,7.50411e-05,nan,nan,nan,-0.00287562,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143781,0.0063142,-0.0615618,-5.06299e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,nan,nan,1,1,1
0.103148,0.0999213,-0.00406452,0.0681395,-0.000839094,-0.00381925,0.126167,-0.00191473,0.018655,-0.00287515,-0.000365829,-0.000117238,7.50413e-05,nan,nan,nan,-0.00287562,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143781,0.00632196,-0.0615593,-5.06964e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,nan,nan,1,1,1
0.111046,0.0998861,-0.00412308,0.0684736,-0.00105437,-0.00360255,0.126338,-0.0019152,0.0186534,-0.0028742,0.000166803,-0.000117238,7.50421e-05,nan,nan,nan,-0.00287468,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143734,0.00631963,-0.0615555,-5.1347e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.122966,0.0998676,-0.00415096,0.0686838,-0.0011611,-0.00338179,0.126454,-0.00190907,0.0186527,-0.00287372,0.000699435,-0.000117238,7.50416e-05,nan,nan,nan,-0.00287468,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143734,0.00629938,-0.0615529,-5.11957e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.130948,0.0998486,-0.00417722,0.0689222,-0.00126732,-0.00311782,0.12659,-0.00190294,0.0186519,-0.00287324,0.000699435,-0.000117238,7.50413e-05,nan,nan,nan,-0.00287324,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143662,0.00626908,-0.061549,-5.02883e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.143119,0.099829,-0.00420167,0.0691866,-0.00136838,-0.00285375,0.126744,-0.00189683,0.0186511,-0.00287275,0.000699435,-0.000117238,7.50413e-05,nan,nan,nan,-0.00287324,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143662,0.00623889,-0.061545,-5.07394e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.151114,0.099781,-0.00423347,0.0694185,-0.00151416,-0.00239572,0.126846,-0.00188466,0.0186495,-0.00287177,0.000699435,-0.000117238,7.50414e-05,nan,nan,nan,-0.00287226,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143613,0.00621883,-0.0615424,-5.05868e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.163062,0.0997529,-0.00424157,0.0693919,-0.00158789,-0.00223559,0.126799,-0.00187829,0.0186487,-0.00287131,0.000699778,-0.000117112,7.50461e-05,nan,nan,nan,-0.00287226,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143613,0.00618735,-0.0615387,-4.95985e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.171105,0.0997247,-0.00424922,0.0693979,-0.00166125,-0.00213304,0.126776,-0.00187194,0.018648,-0.00287085,0.000699778,-0.000117112,7.50461e-05,nan,nan,nan,-0.00287085,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143543,0.00616642,-0.0615363,-4.94342e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
