control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11
0.0416647,0.061589,-0.0162463,0.0785618,0.00719053,-0.0115609,0.142716,-0.00823511,0.0174203,-0.00307216,0.00319057,0.000959535,6.64319e-05,nan,nan,nan,-0.00307183,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153592,0.0271173,-0.0574993,-0.000199641,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,-0.000320528,-0.00894172,-0.000112067,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.0495838,0.061608,-0.0161883,0.0784006,0.0072449,-0.0116905,0.142628,-0.00820195,0.0174282,-0.00307275,0.00372425,0.00095966,6.64391e-05,nan,nan,nan,-0.00307275,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153637,0.0270185,-0.0575255,-0.000199041,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.00269466,-0.00882227,-0.000113559,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.0614581,0.0616501,-0.0160924,0.0781901,0.00739996,-0.0127356,0.142507,-0.00815395,0.0174355,-0.00307377,0.00225951,2.75538e-05,6.64374e-05,nan,nan,nan,-0.00307275,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153637,0.0269059,-0.0575365,-0.000197704,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00369702,-0.00842953,-0.000116066,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.0695091,0.0616732,-0.0160571,0.0781394,0.00747834,-0.0133789,0.14249,-0.00813807,0.0174349,-0.00307421,0.00159372,-0.000105604,6.64384e-05,nan,nan,nan,-0.00307421,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153711,0.0268535,-0.0575345,-0.000197403,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00393192,-0.00848331,-0.000117598,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.0813538,0.0616977,-0.0160304,0.0781244,0.0075528,-0.0140105,0.142499,-0.00812871,0.0174343,-0.00307464,0.000794295,-0.000105528,6.63091e-05,nan,nan,nan,-0.00307421,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153711,0.0268091,-0.0575313,-0.000197736,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00393192,-0.00848331,-0.000117598,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.089368,0.0617234,-0.0160119,0.0781442,0.00759956,-0.0145871,0.142534,-0.00812049,0.0174336,-0.00307504,0.000661137,-0.000105527,6.63098e-05,nan,nan,nan,-0.00307504,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153752,0.0267955,-0.0575303,-0.000197068,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00400548,-0.00860218,-0.000120725,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.101313,0.0617502,-0.0160012,0.0781984,0.00763783,-0.0150802,0.142595,-0.00811235,0.017433,-0.00307542,0.000661137,-0.000105527,6.63098e-05,nan,nan,nan,-0.00307504,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153752,0.0267455,-0.057526,-0.000196805,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00400548,-0.00860218,-0.000120725,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.109422,0.061792,-0.0159711,0.0782214,0.00762822,-0.01559,0.142516,-0.00810417,0.0174319,-0.0030761,-0.000269734,-0.000104928,6.63218e-05,nan,nan,nan,-0.0030761,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153805,0.0267417,-0.0575246,-0.000196896,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00428243,-0.00861125,-0.000123158,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.121328,0.0618139,-0.0159629,0.0782827,0.007592,-0.0156201,0.142515,-0.00810413,0.0174315,-0.00307639,-0.000402892,-0.000104928,6.63225e-05,nan,nan,nan,-0.0030761,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153805,0.0267415,-0.0575232,-0.000196947,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00428243,-0.00861125,-0.000123158,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.129306,0.0618363,-0.0159578,0.0783765,0.00755237,-0.0155244,0.142541,-0.00810415,0.0174311,-0.00307667,-0.000402892,-0.000104928,6.63225e-05,nan,nan,nan,-0.00307667,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153833,0.0267418,-0.0575211,-0.000197404,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0040991,-0.00861207,-0.000125051,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.228276,0.0618553,-0.0159249,0.078177,0.00751073,-0.0153054,0.142368,-0.00810425,0.0174306,-0.00307692,-0.000402892,-0.000104928,6.63225e-05,nan,nan,nan,-0.00307667,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153833,0.0267377,-0.0575196,-0.000196936,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0040991,-0.00861207,-0.000125051,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.23613,0.0618949,-0.0158634,0.0778887,0.00743052,-0.0146525,0.142111,-0.00809064,0.0174297,-0.00307804,0.000663395,-0.000104882,6.63296e-05,nan,nan,nan,-0.00307804,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153902,0.026697,-0.0575173,-0.000195882,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00371381,-0.00861169,-0.00012649,0,0.002,9.31323e-10,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.248264,0.0619155,-0.015834,0.0777984,0.00739203,-0.01429,0.142027,-0.00808179,0.0174292,-0.00307857,0.000663395,-0.000104882,6.63294e-05,nan,nan,nan,-0.00307804,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153902,0.0266678,-0.0575157,-0.000195706,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00385958,-0.00861135,-0.000127146,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.256076,0.0619365,-0.0158053,0.0777431,0.00735445,-0.0139496,0.141971,-0.00807301,0.0174287,-0.00307909,0.000663395,-0.000104882,6.63294e-05,nan,nan,nan,-0.00307909,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153955,0.0266244,-0.0575133,-0.000196166,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0038809,-0.00861112,-0.000127527,0,0.002,4.65661e-10,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.268037,0.061958,-0.0157774,0.0777211,0.00733692,-0.013636,0.141943,-0.00806428,0.0174282,-0.0030796,0.000663395,-0.000104882,6.63294e-05,nan,nan,nan,-0.00307909,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153955,0.0265815,-0.0575108,-0.000195196,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0038809,-0.00861112,-0.000127527,0,0.002,4.65661e-10,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.276152,0.0620032,-0.0157252,0.0777777,0.00734184,-0.0131609,0.141928,-0.00804706,0.0174272,-0.00308054,0.000663395,-0.000104882,6.63294e-05,nan,nan,nan,-0.00307909,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00153955,0.0265532,-0.0575092,-0.000195041,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00388504,-0.00861075,-0.000128026,0,0.002,9.31323e-10,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.288112,0.0620269,-0.0157016,0.0778551,0.00734505,-0.0130232,0.141941,-0.00803855,0.0174267,-0.00308098,0.000663395,-0.000104882,6.63294e-05,nan,nan,nan,-0.00308054,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00154027,0.0265251,-0.0575075,-0.000194885,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00388202,-0.00861038,-0.000128287,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
0.296118,0.0620513,-0.0156805,0.0779644,0.00734917,-0.0129598,0.141993,-0.00803014,0.0174262,-0.00308139,0.000663395,-0.000104882,6.63294e-05,nan,nan,nan,-0.00308139,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.0015407,0.0264836,-0.057505,-0.000195265,0,0,-0.001,0.061571,-0.016307,-1,-0.00307183,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.00387582,-0.00860988,-0.00012884,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan
